Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP,Dataset,Repeat,Seed,Fold,Train_Sites,Test_Sites
0.8,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6614378277661477,0.9732142857142857,0.975,7,0,3,5,EXTENDED,5,55,4,43,15
0.8,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6614378277661477,0.8928571428571429,0.9318181818181819,7,0,3,5,EXTENDED,6,66,1,43,15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,8,EXTENDED,6,66,2,44,14
0.7857142857142857,0.7708333333333333,0.7777777777777778,0.875,0.6666666666666666,0.8235294117647058,0.5594309277855158,0.9583333333333334,0.975,4,2,1,7,EXTENDED,6,66,3,44,14
0.7333333333333333,0.7321428571428572,0.75,0.75,0.7142857142857143,0.75,0.4642857142857143,0.6964285714285714,0.7976190476190477,5,2,2,6,EXTENDED,6,66,4,43,15
0.8666666666666667,0.8660714285714286,0.875,0.875,0.8571428571428571,0.875,0.7321428571428571,0.9821428571428571,0.9861111111111112,6,1,1,7,EXTENDED,7,77,1,43,15
0.5333333333333333,0.5267857142857143,0.5555555555555556,0.625,0.42857142857142855,0.5882352941176471,0.05455447255899809,0.7678571428571428,0.8420454545454545,3,4,3,5,EXTENDED,7,77,2,43,15
0.8571428571428571,0.8541666666666667,0.875,0.875,0.8333333333333334,0.875,0.7083333333333334,0.9583333333333334,0.9704861111111112,5,1,1,7,EXTENDED,7,77,3,44,14
0.7857142857142857,0.7916666666666667,0.8571428571428571,0.75,0.8333333333333334,0.8,0.5773502691896257,0.875,0.9318181818181819,5,1,2,6,EXTENDED,7,77,4,44,14
0.8,0.7946428571428572,0.7777777777777778,0.875,0.7142857142857143,0.8235294117647058,0.600099198148979,0.9285714285714286,0.9583333333333333,5,2,1,7,EXTENDED,8,88,1,43,15
0.9285714285714286,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8660254037844387,0.9583333333333334,0.975,6,0,1,7,EXTENDED,8,88,2,44,14
0.7333333333333333,0.7321428571428572,0.75,0.75,0.7142857142857143,0.75,0.4642857142857143,0.8214285714285714,0.8648538961038961,5,2,2,6,EXTENDED,8,88,3,43,15
0.7142857142857143,0.7291666666666667,0.8333333333333334,0.625,0.8333333333333334,0.7142857142857143,0.4583333333333333,0.9166666666666667,0.9415178571428572,5,1,3,5,EXTENDED,8,88,4,44,14
0.6,0.5892857142857143,0.6,0.75,0.42857142857142855,0.6666666666666666,0.18898223650461363,0.8571428571428571,0.9128787878787878,3,4,2,6,EXTENDED,9,99,1,43,15
0.7857142857142857,0.7708333333333333,0.7777777777777778,0.875,0.6666666666666666,0.8235294117647058,0.5594309277855158,0.9166666666666666,0.9415178571428572,4,2,1,7,EXTENDED,9,99,2,44,14
0.9285714285714286,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8660254037844387,1.0,1.0,6,0,1,7,EXTENDED,9,99,3,44,14
0.7333333333333333,0.7321428571428572,0.75,0.75,0.7142857142857143,0.75,0.4642857142857143,0.875,0.9068813131313131,5,2,2,6,EXTENDED,9,99,4,43,15
0.7333333333333333,0.7232142857142857,0.7,0.875,0.5714285714285714,0.7777777777777778,0.472455591261534,0.8392857142857143,0.8867424242424242,4,3,1,7,EXTENDED,10,111,1,43,15
0.7857142857142857,0.7916666666666667,0.8571428571428571,0.75,0.8333333333333334,0.8,0.5773502691896257,0.8958333333333334,0.932426948051948,5,1,2,6,EXTENDED,10,111,2,44,14
0.7857142857142857,0.7916666666666667,0.8571428571428571,0.75,0.8333333333333334,0.8,0.5773502691896257,0.9375,0.959375,5,1,2,6,EXTENDED,10,111,3,44,14
0.6,0.5982142857142857,0.625,0.625,0.5714285714285714,0.625,0.19642857142857142,0.8392857142857142,0.8867424242424242,4,3,3,5,EXTENDED,10,111,4,43,15
